anime_id,title,type,score,scored_by,status,source,members,favorites,rating,start_year,genres,themes,demographics,main_picture,trailer_url,title_english,watching,completed,on_hold,dropped,plan_to_watch,total
5114,Fullmetal Alchemist: Brotherhood,tv,9.13,1871705,finished_airing,manga,2932347,204645,r,2009,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen'],https://cdn.myanimelist.net/images/anime/1223/96541l.jpg,https://www.youtube.com/watch?v=--IcmZkvL0Q,Fullmetal Alchemist: Brotherhood,232414,2195091,103165,50084,451791,3032545
11061,Hunter x Hunter (2011),tv,9.04,1509622,finished_airing,manga,2418883,185178,pg_13,2011,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],https://cdn.myanimelist.net/images/anime/1337/99013l.jpg,https://www.youtube.com/watch?v=D9iTQRB4XRk,Hunter x Hunter,324069,1681126,124240,51620,334756,2515811
38524,Shingeki no Kyojin Season 3 Part 2,tv,9.07,1329500,finished_airing,manga,1881734,51931,r,2019,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],https://cdn.myanimelist.net/images/anime/1517/100633l.jpg,https://www.youtube.com/watch?v=hKHepjfj5Tw,Attack on Titan Season 3 Part 2,71605,1759549,8260,5962,123272,1968648
9253,Steins;Gate,tv,9.08,1252286,finished_airing,visual_novel,2269121,173088,pg_13,2011,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[],https://cdn.myanimelist.net/images/anime/5/73199l.jpg,https://www.youtube.com/watch?v=27OZc-ku6is,Steins;Gate,149910,1467315,82024,49601,585966,2334816
28851,Koe no Katachi,movie,8.95,1398608,finished_airing,manga,2001335,77431,pg_13,2016,['Drama'],['Romantic Subtext'],['Shounen'],https://cdn.myanimelist.net/images/anime/1122/96435l.jpg,https://www.youtube.com/watch?v=XBNWo25izJ8,A Silent Voice,41812,1776803,5667,2824,249352,2076458
32281,Kimi no Na wa.,movie,8.86,1675677,finished_airing,original,2392235,82509,pg_13,2016,"['Drama', 'Supernatural']",['Romantic Subtext'],[],https://cdn.myanimelist.net/images/anime/5/87048l.jpg,https://www.youtube.com/watch?v=3KR8_igDs1Y,Your Name.,53711,2132244,6326,3489,276123,2471893
2904,Code Geass: Hangyaku no Lelouch R2,tv,8.91,1079799,finished_airing,original,1587851,71331,r,2008,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",[],https://cdn.myanimelist.net/images/anime/4/9391l.jpg,,Code Geass: Lelouch of the Rebellion R2,51073,1356540,23251,16451,185876,1633191
40028,Shingeki no Kyojin: The Final Season,tv,8.83,1080165,finished_airing,manga,1629273,50125,r,2021,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],https://cdn.myanimelist.net/images/anime/1000/110531l.jpg,https://www.youtube.com/watch?v=SlNpRThS9t8,Attack on Titan: The Final Season,296074,1220437,22647,12734,161792,1713684
199,Sen to Chihiro no Kamikakushi,movie,8.78,1149660,finished_airing,original,1633281,28806,pg,2001,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],[],https://cdn.myanimelist.net/images/anime/6/79597l.jpg,https://www.youtube.com/watch?v=ByXuk9QqQkk,Spirited Away,20969,1521041,4206,1944,135851,1684011
1575,Code Geass: Hangyaku no Lelouch,tv,8.7,1266726,finished_airing,original,2013999,100106,r,2006,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",[],https://cdn.myanimelist.net/images/anime/5/50331l.jpg,,Code Geass: Lelouch of the Rebellion,96680,1556664,56173,41093,319335,2069945
