manga_id,title,type,score,scored_by,status,start_date,members,favorites,genres,themes,demographics,main_picture,title_english,reading,completed,on_hold,dropped,plan_to_read,total
2,Berserk,manga,9.45,268737,currently_publishing,1989-08-25,551266,103820,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/manga/1/157897l.jpg,Berserk,313274,79589,42675,8909,140653,585100
13,One Piece,manga,9.2,305917,currently_publishing,1997-07-22,501291,99526,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],https://cdn.myanimelist.net/images/manga/2/253146l.jpg,One Piece,414141,22566,34909,17375,42890,531881
25,Fullmetal Alchemist,manga,9.05,143879,finished,2001-07-12,264571,28519,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Military'],['Shounen'],https://cdn.myanimelist.net/images/manga/3/243675l.jpg,Fullmetal Alchemist,46255,147805,15822,6046,55861,271789
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,manga,9.27,125482,finished,2004-01-19,209123,35456,"['Action', 'Adventure', 'Horror', 'Mystery', 'Supernatural']",['Historical'],"['Seinen', 'Shounen']",https://cdn.myanimelist.net/images/manga/3/179882l.jpg,,29010,138429,5421,1953,46996,221809
4632,Oyasumi Punpun,manga,9.03,141146,finished,2007-03-15,354176,43168,"['Drama', 'Slice of Life']",['Psychological'],['Seinen'],https://cdn.myanimelist.net/images/manga/3/164420l.jpg,Goodnight Punpun,70121,148150,16310,7150,134893,376624
656,Vagabond,manga,9.19,101139,on_hiatus,1998-09-03,284063,30060,"['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']",['Seinen'],https://cdn.myanimelist.net/images/manga/1/259070l.jpg,Vagabond,90625,62265,21323,4417,127230,305860
642,Vinland Saga,manga,8.99,96045,currently_publishing,2005-04-13,234069,24881,"['Action', 'Adventure', 'Award Winning', 'Drama']",['Historical'],['Seinen'],https://cdn.myanimelist.net/images/manga/2/188925l.jpg,Vinland Saga,131878,11913,18286,3978,82763,248818
56805,Koe no Katachi,manga,8.86,132459,finished,2013-08-07,244653,21260,"['Award Winning', 'Drama']",['Romantic Subtext'],['Shounen'],https://cdn.myanimelist.net/images/manga/1/120529l.jpg,A Silent Voice,26813,155510,5459,2261,60484,250527
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,manga,8.92,98602,currently_publishing,2015-05-19,223578,25182,"['Award Winning', 'Comedy']","['Romantic Subtext', 'School']",['Seinen'],https://cdn.myanimelist.net/images/manga/3/188896l.jpg,Kaguya-sama: Love is War,132538,32022,11527,4519,56159,236765
116778,Chainsaw Man,manga,8.73,265516,currently_publishing,2018-12-03,428741,59111,"['Action', 'Adventure', 'Award Winning']",['Gore'],['Shounen'],https://cdn.myanimelist.net/images/manga/3/216464l.jpg,Chainsaw Man,188647,220771,13029,4649,60672,487768
1,Monster,manga,9.1,74824,finished,1994-12-05,192584,16817,"['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/manga/3/258224l.jpg,Monster,28885,79945,7831,2411,86528,205600
44347,One Punch-Man,manga,8.74,195826,currently_publishing,2012-06-14,403311,33224,"['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen'],https://cdn.myanimelist.net/images/manga/3/80661l.jpg,One-Punch Man,297649,19937,31611,9852,64640,423689
121496,Solo Leveling,manhwa,8.72,209738,finished,2018-03-04,368469,35850,"['Action', 'Adventure', 'Fantasy']",[],[],https://cdn.myanimelist.net/images/manga/3/222295l.jpg,Solo Leveling,180580,131233,14298,8205,59379,393695
21,Death Note,manga,8.7,205850,finished,2003-12-01,355465,30081,"['Supernatural', 'Suspense']",['Psychological'],['Shounen'],https://cdn.myanimelist.net/images/manga/1/258245l.jpg,Death Note,50796,228078,18448,12270,55177,364769
35243,Haikyuu!!,manga,8.84,89090,finished,2012-02-20,187357,16347,"['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/258225l.jpg,Haikyu!!,66161,72592,11301,4297,41003,195354
3,20th Century Boys,manga,8.94,66959,finished,1999-09-27,194538,15619,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/manga/5/260006l.jpg,20th Century Boys,29005,71900,7836,2276,98669,209686
51,Slam Dunk,manga,9.06,60567,finished,1990-09-18,134233,12981,"['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/258749l.jpg,Slam Dunk,18127,65675,5436,2030,51110,142378
26,Hunter x Hunter,manga,8.7,105659,on_hiatus,1998-03-03,228965,20366,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],https://cdn.myanimelist.net/images/manga/2/253119l.jpg,Hunter x Hunter,129871,21463,30248,7878,51253,240713
70345,Grand Blue,manga,9.03,55772,currently_publishing,2014-04-07,148627,15107,['Comedy'],[],['Seinen'],https://cdn.myanimelist.net/images/manga/2/166124l.jpg,Grand Blue Dreaming,82186,5731,7593,3047,57086,155643
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",manga,8.8,67320,finished,2016-08-10,126951,11061,['Drama'],[],['Shounen'],https://cdn.myanimelist.net/images/manga/5/260043l.jpg,I sold my life for ten thousand yen per year.,8410,82843,1060,591,43586,136490
119161,Spy x Family,manga,8.68,98225,currently_publishing,2019-03-25,242535,19074,"['Action', 'Comedy']",['Childcare'],['Shounen'],https://cdn.myanimelist.net/images/manga/3/219741l.jpg,Spy x Family,181084,6061,14020,3708,57499,262372
23390,Shingeki no Kyojin,manga,8.57,363368,finished,2009-09-09,590241,66931,"['Action', 'Award Winning', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/37846l.jpg,Attack on Titan,235750,267484,30303,21936,50992,606465
336,GTO,manga,8.89,57851,finished,1996-12-11,143407,10164,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']","['Delinquents', 'School', 'Workplace']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/172982l.jpg,GTO: Great Teacher Onizuka,20650,61114,7109,3113,58129,150115
16765,Kingdom,manga,8.98,51058,currently_publishing,2006-01-26,140749,12675,"['Action', 'Award Winning']","['Historical', 'Military']",['Seinen'],https://cdn.myanimelist.net/images/manga/2/171872l.jpg,,71148,5022,9551,2698,60034,148453
78523,ReLIFE,manga,8.66,72499,finished,2013-10-12,145655,11477,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['School'],[],https://cdn.myanimelist.net/images/manga/2/171573l.jpg,ReLIFE,33063,71956,5442,3480,35324,149265
104,Yotsuba to!,manga,8.87,48068,currently_publishing,2003-03-21,133445,14433,"['Award Winning', 'Comedy', 'Slice of Life']","['Childcare', 'Iyashikei']",[],https://cdn.myanimelist.net/images/manga/5/259524l.jpg,Yotsuba&!,64617,6522,14743,3660,48776,138318
113138,Jujutsu Kaisen,manga,8.55,125953,currently_publishing,2018-03-05,292068,22473,"['Action', 'Fantasy']",['School'],['Shounen'],https://cdn.myanimelist.net/images/manga/3/210341l.jpg,Jujutsu Kaisen,218837,14759,17494,6833,57095,315018
33327,Tokyo Ghoul,manga,8.52,236546,finished,2011-09-08,435782,40325,"['Action', 'Fantasy', 'Horror']","['Gore', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/manga/3/114037l.jpg,Tokyo Ghoul,83027,259843,18935,11059,79874,452738
21525,Akatsuki no Yona,manga,8.83,42358,currently_publishing,2009-08-05,116557,12593,"['Action', 'Comedy', 'Fantasy', 'Romance']",[],['Shoujo'],https://cdn.myanimelist.net/images/manga/3/153249l.jpg,Yona of the Dawn,68110,3743,9050,2829,36967,120699
91941,Made in Abyss,manga,8.78,43435,currently_publishing,2012-10-20,129617,9021,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],[],https://cdn.myanimelist.net/images/manga/3/161645l.jpg,Made in Abyss,69720,6552,8780,3272,51102,139426
3031,Pandora Hearts,manga,8.58,55784,finished,2006-05-18,154343,15620,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",[],['Shounen'],https://cdn.myanimelist.net/images/manga/2/169004l.jpg,Pandora Hearts,38518,43248,12152,6947,58572,159437
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,manga,8.58,53330,finished,1992-04-21,89324,6188,"['Action', 'Supernatural']",[],['Shounen'],https://cdn.myanimelist.net/images/manga/4/156988l.jpg,JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,5799,66878,1539,576,17872,92664
1133,Dorohedoro,manga,8.68,42930,finished,2000-11-30,137617,10512,"['Action', 'Comedy', 'Fantasy', 'Horror']",['Gore'],['Seinen'],https://cdn.myanimelist.net/images/manga/3/258246l.jpg,Dorohedoro,32388,38183,7462,2678,66446,147157
102,Fruits Basket,manga,8.52,68991,finished,1998-07-18,132259,13900,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Supernatural']","['Love Polygon', 'School']",['Shoujo'],https://cdn.myanimelist.net/images/manga/2/155964l.jpg,Fruits Basket,17648,75359,8746,5985,27056,134794
42451,Horimiya,manga,8.45,132596,finished,2011-10-18,301756,23803,['Romance'],['School'],['Shounen'],https://cdn.myanimelist.net/images/manga/2/245008l.jpg,Horimiya,130093,78065,18457,11846,71479,309940
111213,Bastard,manhwa,8.54,57899,finished,2014-07-04,109934,6029,"['Drama', 'Horror', 'Mystery', 'Romance']","['Gore', 'Psychological']",[],https://cdn.myanimelist.net/images/manga/1/205549l.jpg,,8195,71303,1952,1303,33644,116397
28,Nana,manga,8.76,35748,on_hiatus,2000-05-26,109002,9425,"['Award Winning', 'Drama', 'Romance', 'Slice of Life']","['Adult Cast', 'Love Polygon', 'Music']",['Shoujo'],https://cdn.myanimelist.net/images/manga/1/262324l.jpg,Nana,25812,26048,10277,4108,50402,116647
11734,Watashitachi no Shiawase na Jikan,manga,8.56,50745,finished,2008-03-28,105664,4766,"['Drama', 'Romance', 'Slice of Life']","['Music', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/manga/3/66993l.jpg,,4740,61488,889,732,40834,108683
664,Akira,manga,8.69,37223,finished,1982-12-06,111721,5880,"['Action', 'Award Winning', 'Sci-Fi']",['Gore'],['Seinen'],https://cdn.myanimelist.net/images/manga/2/157929l.jpg,Akira,13159,41415,4496,1444,56378,116892
88660,Yagate Kimi ni Naru,manga,8.67,37290,finished,2015-04-27,84417,8126,"['Drama', 'Girls Love']",['School'],[],https://cdn.myanimelist.net/images/manga/1/232311l.jpg,Bloom Into You,16096,40107,2364,1303,29600,89470
22,Rurouni Kenshin: Meiji Kenkaku Romantan,manga,8.57,43912,finished,1994-04-12,88343,6844,"['Action', 'Drama']","['Historical', 'Samurai']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/127583l.jpg,Rurouni Kenshin: Meiji Swordsman Romantic Story,11272,46323,6341,3124,23531,90591
44489,Houseki no Kuni,manga,8.95,29552,currently_publishing,2012-10-25,94562,10819,"['Action', 'Drama', 'Fantasy']",['Anthropomorphic'],['Seinen'],https://cdn.myanimelist.net/images/manga/1/115443l.jpg,Land of the Lustrous,45319,5235,5820,1545,45064,102983
30,Ouran Koukou Host Club,manga,8.51,56416,finished,2002-07-24,117913,7721,"['Comedy', 'Drama', 'Romance']","['Crossdressing', 'Reverse Harem', 'School']",['Shoujo'],https://cdn.myanimelist.net/images/manga/5/19240l.jpg,Ouran High School Host Club,23306,55962,8967,4104,27752,120091
60783,Mob Psycho 100,manga,8.6,38639,finished,2012-04-18,98017,5014,"['Action', 'Award Winning', 'Comedy', 'Supernatural']",['Super Power'],[],https://cdn.myanimelist.net/images/manga/2/204842l.jpg,Mob Psycho 100,23302,37349,5331,1900,35296,103178
44,Gintama,manga,8.62,36890,finished,2003-12-08,86311,7992,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],https://cdn.myanimelist.net/images/manga/1/143121l.jpg,Gin Tama,29202,20477,8856,3831,26077,88443
698,Neon Genesis Evangelion,manga,8.56,42557,finished,1994-12-26,96009,6822,"['Action', 'Drama', 'Mystery', 'Sci-Fi']","['Mecha', 'Psychological']","['Seinen', 'Shounen']",https://cdn.myanimelist.net/images/manga/1/145061l.jpg,Neon Genesis Evangelion,17484,41597,6642,2741,31654,100118
610,Skip Beat!,manga,8.57,37647,currently_publishing,2002-02-15,85807,8951,"['Comedy', 'Drama', 'Romance']","['Love Polygon', 'Showbiz']",['Shoujo'],https://cdn.myanimelist.net/images/manga/2/255389l.jpg,Skip Beat!,48810,4038,9197,5461,19673,87179
145863,Sayonara Eri,manga,8.74,30825,finished,2022-04-11,43545,2010,['Drama'],[],['Shounen'],https://cdn.myanimelist.net/images/manga/3/263979l.jpg,"Goodbye, Eri",2145,49606,176,33,11829,63789
7519,Kami nomi zo Shiru Sekai,manga,8.48,54037,finished,2008-04-09,103861,9077,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']","['Harem', 'Otaku Culture', 'School']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/188974l.jpg,,23359,50588,4963,3446,22832,105188
8586,The Breaker,manhwa,8.43,65025,finished,2007-06-01,131111,6090,"['Action', 'Comedy', 'Drama']","['Martial Arts', 'School']",[],https://cdn.myanimelist.net/images/manga/2/55867l.jpg,,11429,79727,2590,2175,38161,134082
745,Pluto,manga,8.61,34676,finished,2003-09-09,93977,4375,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']","['Mecha', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/manga/1/264496l.jpg,Pluto: Urasawa x Tezuka,8661,39749,2563,736,47865,99574
7,Hajime no Ippo,manga,8.68,30974,currently_publishing,1989-09-27,70544,5733,"['Award Winning', 'Sports']",['Combat Sports'],['Shounen'],https://cdn.myanimelist.net/images/manga/2/250313l.jpg,,41713,2897,6681,2688,19955,73934
8967,Onanie Master Kurosawa,manga,8.42,65656,finished,2007-09-01,120463,9610,['Drama'],"['Psychological', 'School']",[],https://cdn.myanimelist.net/images/manga/3/212092l.jpg,,7211,78866,1827,1559,34659,124122
42,Dragon Ball,manga,8.4,84119,finished,1984-11-20,136967,12742,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Martial Arts', 'Super Power']",['Shounen'],https://cdn.myanimelist.net/images/manga/2/54545l.jpg,Dragon Ball,18965,92722,8240,4955,17569,142451
3866,Kuroshitsuji,manga,8.43,59460,currently_publishing,2006-09-16,145515,15615,"['Action', 'Fantasy', 'Mystery', 'Supernatural']","['Historical', 'Mythology']",['Shounen'],https://cdn.myanimelist.net/images/manga/3/248448l.jpg,Black Butler,82364,5347,16446,9590,34869,148616
9711,Bakuman.,manga,8.4,77408,finished,2008-08-11,159895,10829,"['Comedy', 'Drama', 'Romance']",['Otaku Culture'],['Shounen'],https://cdn.myanimelist.net/images/manga/1/208974l.jpg,Bakuman。,31810,70020,11666,7466,42506,163468
2921,Kaichou wa Maid-sama!,manga,8.4,75956,finished,2005-12-24,149649,8998,"['Comedy', 'Romance']",['School'],['Shoujo'],https://cdn.myanimelist.net/images/manga/2/120073l.jpg,Maid-sama!,32560,77149,8851,5716,28720,152996
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,manga,8.45,51075,finished,2011-05-19,118520,6240,"['Action', 'Adventure', 'Award Winning', 'Mystery', 'Supernatural']",[],['Seinen'],https://cdn.myanimelist.net/images/manga/1/179885l.jpg,,42977,35317,7591,1355,38055,125295
107931,Blue Period,manga,8.7,27722,currently_publishing,2017-06-24,97672,7014,"['Award Winning', 'Drama']","['School', 'Visual Arts']",['Seinen'],https://cdn.myanimelist.net/images/manga/2/204827l.jpg,Blue Period,51283,2470,6445,2333,42142,104673
