Manga series,Demographic,Start,End,Approximate sales,Average sales per volume
One Piece,Shonen,1997,2023,516.6,4.97
Dragon Ball,Shonen,1984,1995,350,8.33
Golgo 13,Seinen,1968,2023,300,1.46
Doraemon,Children,1969,1996,300,6.66
Detective Conan,Shonen,1994,2023,250,2.45
Naruto,Shonen,1999,2014,250,3.47
Black Jack,Shonen,1973,1983,176,7.04
Slam Dunk,Shonen,1990,1996,170,5.48
KochiKame: Tokyo Beat Cops,Shonen,1976,2016,156.5,0.78
Demon Slayer: Kimetsu no Yaiba,Shonen,2016,2020,150,6.52
Crayon Shin-chan,Seinen,1990,2023,148,2.55
Oishinbo,Seinen,1983,2014,135,1.22
Bleach,Shonen,2001,2016,130,1.75
JoJo's Bizarre Adventure,Shonen,1987,2023,120,0.92
Attack on Titan,Shonen,2009,2021,110,3.23
Astro Boy,Shonen,1952,1968,100,4.35
Fist of the North Star,Shonen,1983,1988,100,3.7
Hajime no Ippo,Shonen,1989,2023,100,0.74
The Kindaichi Case Files,Shonen,1992,2023,100,1.15
Touch,Shonen,1981,1986,100,3.85
Kingdom,Seinen,2006,2023,92,1.39
Baki the Grappler,Shonen,1991,2023,85,0.59
Hunter X Hunter,Shonen,1998,2023,84,2.33
Vagabond,Seinen,1998,2015,82,2.21
Captain Tsubasa,Shonen,1981,2023,80,0.83
Fullmetal Alchemist,Shonen,2001,2010,80,2.96
Sangokushi,Shonen,1971,1986,80,1.33
Kinnikuman,Shonen,1979,2023,77,1.01
Fairy Tail,Shonen,2006,2017,72,1.14
Rurouni Kenshin,Shonen,1994,1999,72,2.57
Jujutsu Kaisen,Shonen,2018,2023,70,3.33
My Hero Academia,Shonen,2014,2023,65,1.91
Tokyo Revengers,Shonen,2017,2023,65,2.32
Boys Over Flowers,Shojo,1992,2003,61,1.64
Major,Shonen,1994,2023,60.5,0.59
The Prince of Tennis,Shonen,1999,2008,60,1.42
Rokudenashi Blues,Shonen,1988,1997,60,1.42
Initial D,Seinen,1995,2013,56,1.16
Gin Tama,Shonen,2003,2019,55.5,0.72
Bad Boys,Seinen,1988,1996,55,2.5
H2,Shonen,1992,1999,55,1.61
Haikyu!!,Shonen,2012,2020,55,1.22
Ranma,Shonen,1987,1996,55,1.44
Minami no Tei?,Shonen,1992,2023,53,0.33
Berserk,Seinen,1989,2023,50,1.25
City Hunter,Shonen,1985,1991,50,1.42
Cobra,Shonen,1978,1984,50,2.77
Devilman,Shonen,1972,1973,50,10
Fisherman Sanpei,Shonen,1973,1983,50,0.76
Glass Mask,Shojo,1976,2012,50,1.02
Great Teacher Onizuka,Shonen,1997,2002,50,2
Inuyasha,Shonen,1996,2008,50,0.89
Nana,Shojo,2000,2009,50,2.38
Saint Seiya,Shonen,1986,1990,50,1.78
Shoot!,Shonen,1990,2003,50,1.51
YuYu Hakusho,Shonen,1990,1994,50,2.63
Dokaben,Shonen,1972,1981,48,1
Dragon Quest: The Adventure of Dai,Shonen,1989,1996,47,1.27
Kosaku Shima,Seinen,1983,2023,47,0.44
Tokyo Ghoul,Seinen,2011,2018,47,1.56
Crows,Shonen,1990,1998,46,1.76
Sailor Moon,Shojo,1991,1997,46,2.55
Black Jack,Shonen,1973,1983,45.64,1.83
Dear Boys,Shonen,1989,2023,45,0.55
Shizukanaru Don - Yakuza Side Story,Seinen,1988,2013,45,0.41
Shonan Junai Gumi,Shonen,1990,1996,45,1.45
Super Radical Gag Family,Shonen,1993,2023,44,0.48
The Promised Neverland,Shonen,2016,2020,41,2.05
Ace of Diamond,Shonen,2006,2023,40,0.56
Be-Bop High School,Seinen,1983,2003,40,0.83
Crest of the Royal Family,Shojo,1976,2023,40,0.6
Ky? Kara Ore Wa!!,Shonen,1988,1997,40,1.05
Yu-Gi-Oh!,Shonen,1996,2004,40,1.05
Nodame Cantabile,Josei,2001,2009,38.7,1.68
Shaman King,Shonen,1998,2004,38,1.08
The Seven Deadly Sins,Shonen,2012,2020,37,0.9
20th Century Boys,Seinen,1999,2006,36,1.63
Cooking Papa,Seinen,1985,2023,36,0.22
The Chef,Seinen,1986,2016,35,0.56
Dr. Slump,Shonen,1980,1984,35,1.94
Itazura na Kiss,Shojo,1990,1999,35,1.52
Urusei Yatsura,Shonen,1978,1987,35,1.02
Worst,Shonen,2002,2013,35,1.06
Salary Man Kintaro,Seinen,1994,2002,34,1.13
3X3 Eyes,Seinen,1987,2002,33.33,0.83
Kimi ni Todoke,Shojo,2005,2017,33,1.1
Chibi Maruko-chan,Shojo,1986,2018,32.5,1.91
Black Butler,Shonen,2006,2023,32,1
A Certain Magical Index,Shonen,2007,2023,31,0.29
Kuroko's Basketball,Shonen,2008,2014,31,1.03
Bastard?,Shonen,1988,2012,30,1.11
Chameleon,Shonen,1990,1999,30,0.63
Death Note,Shonen,2003,2006,30,2.5
Fruits Basket,Shojo,1998,2006,30,1.3
Gaki Deka,Shonen,1974,1980,30,1.15
Jarinko Chie,Seinen,1978,1997,30,0.44
Jingi,Seinen,1988,2019,30,0.37
Kaze Densetsu: Bukkomi no Taku [ja],Shonen,1991,1997,30,1.11
One-Punch Man,Seinen,2012,2023,30,1.15
Reborn!,Shonen,2004,2012,30,0.71
Shura no Mon,Shonen,1987,1996,30,0.96
That Time I Got Reincarnated as a Slime,Shonen,2015,2023,30,1.57
Tokimeki Tonight,Shojo,1982,1994,30,1
Ushio and Tora,Shonen,1990,1996,30,0.9
Yawara!,Seinen,1986,1993,30,1.03
Futari Ecchi,Seinen,1997,2023,29.5,0.34
Shonan Bakusozoku [ja],Seinen,1982,1988,29,1.81
Asari-chan,Shojo,1978,2014,28,0.28
Pokemon Adventures,Children,1997,2023,28,0.47
Space Brothers,Seinen,2007,2023,28,0.67
Yowamushi Pedal,Shonen,2008,2023,28,0.35
Chihayafuru,Josei,2007,2022,27,0.53
Sakigake!! Otokojuku,Shonen,1985,1991,27,0.79
Spy X Family,Shonen,2019,2023,27,2.7
Bari Bari Densetsu,Shonen,1983,1991,26,0.68
Tsuribaka Nisshi,Seinen,1979,2023,26,0.24
Angel Heart,Seinen,2001,2017,25,0.46
Ashita no Joe,Shonen,1968,1973,25,1.25
Assassination Classroom,Shonen,2012,2016,25,1.19
Boys Be...,Shonen,1991,1997,25,0.78
D.Gray-man,Shonen,2004,2023,25,0.89
Emblem Take 2 [ja],Seinen,1990,2004,25,0.4
Flame of Recca,Shonen,1995,2002,25,0.75
Hikaru no Go,Shonen,1998,2003,25,1.08
Jigoku Sensei N?b?,Shonen,1993,2023,25,0.35
Magi: The Labyrinth of Magic,Shonen,2009,2017,25,0.67
Maison Ikkoku,Seinen,1980,1987,25,1.66
Miyuki,Shonen,1980,1984,25,2.08
Neon Genesis Evangelion,Shonen,1994,2013,25,1.78
Oh My Goddess!,Seinen,1988,2014,25,0.52
Patalliro!,Shojo,1979,2023,25,0.24
Parasyte,Seinen,1988,1995,25,2.5
The Ping Pong Club,Seinen,1993,1996,25,1.92
