anime_id,watching,completed,on_hold,dropped,plan_to_watch,total
43608,92907,396245,8077,5624,197293,700146
5114,232414,2195091,103165,50084,451791,3032545
9253,149910,1467315,82024,49601,585966,2334816
28977,62437,235272,22143,16301,230086,566239
38524,71605,1759549,8260,5962,123272,1968648
9969,36100,252665,14502,9523,186086,498876
15417,9900,190721,3482,2601,89576,296280
39486,5342,62040,1271,1079,48444,118176
11061,324069,1681126,124240,51620,334756,2515811
42938,31910,217061,5353,3663,131031,389018
820,31257,65929,18249,7715,169886,293036
34096,14399,163540,4449,3088,97892,283368
918,187181,299422,112786,49594,330193,979176
35180,23489,210864,9736,4768,118943,367800
28851,41812,1776803,5667,2824,249352,2076458
37987,12938,260606,4021,1279,213764,492608
4181,35698,760277,19899,15887,282596,1114357
15335,4776,156878,1617,1555,55049,219875
2904,51073,1356540,23251,16451,185876,1633191
35247,14270,219655,4909,2346,123388,364568
37491,7659,106582,2427,1531,56804,175003
32281,53711,2132244,6326,3489,276123,2471893
47778,104427,776848,7578,3215,160046,1052114
19,109514,318079,66518,30695,395924,920730
40028,296074,1220437,22647,12734,161792,1713684
48583,180228,567302,14782,7554,219905,989771
50265,252487,694176,14594,9012,153282,1123551
36838,9505,115913,2815,1722,59211,189166
37510,74125,1034763,16850,6728,201645,1334111
40682,14822,29098,2334,1386,33901,81541
50160,9728,13934,689,539,19659,44549
31758,9286,306930,2643,1336,101846,422041
44074,26630,94834,7002,3671,119891,252028
32935,35907,946831,7717,5121,91798,1087374
199,20969,1521041,4206,1944,135851,1684011
17074,39542,412901,19474,7044,150318,629279
1,157030,969620,96737,37538,431467,1692392
41084,49601,115369,3834,1770,145121,315695
33095,10591,69882,5558,3591,85644,175266
263,45115,282640,25503,12613,143007,508878
24701,12964,122645,6063,2979,101167,245818
37521,115688,762331,34900,19200,277652,1209771
46102,31229,188436,9129,5722,116143,350659
45576,66039,496200,6833,4310,108882,682264
33050,6896,187928,1903,837,101389,298953
48569,52795,211950,9183,5309,89875,369112
44,7843,169421,3603,2151,80063,263081
2921,2143,20758,960,1051,19898,44810
21939,14817,137091,7276,3198,116741,279123
1575,96680,1556664,56173,41093,319335,2069945
245,60062,416231,42148,23024,215736,757201
40748,328210,1478497,39344,21654,186921,2054626
40434,6300,22791,1075,702,33244,64112
164,16093,957664,4534,1866,162691,1142848
34599,71771,781926,28201,17503,317704,1217105
457,67595,277456,51123,24328,346561,767063
33352,118082,1000796,53647,47972,369541,1590038
23273,104257,1468591,54114,49913,342439,2019314
40456,21356,1050476,3273,1547,190738,1267390
431,13266,1063504,3222,1269,107473,1188734
36862,7198,244931,1759,637,129387,383912
5258,9229,193941,3431,1924,45024,253549
21,1392434,38,251073,170843,203047,2017435
11665,8521,133908,4078,2232,80492,229231
40591,81512,894860,16411,9101,171426,1173310
3786,4617,150216,1430,682,163157,320102
28891,56097,1121108,15819,8234,98717,1299975
2001,88321,972629,68358,52576,315854,1497738
34591,9304,81552,3139,1920,74747,170662
22135,15097,190578,9221,7180,136173,358249
1535,173537,2957964,101295,108969,217466,3559231
7311,13949,372088,6025,4694,178090,574846
35760,72170,1836429,12800,8641,153364,2083404
38329,13225,486883,3449,1743,118456,623756
40834,101398,248735,15448,8767,119556,493904
28957,3226,62998,1296,694,50857,119071
31757,7631,312296,2257,1031,86053,409268
12355,13995,549338,4283,1629,190082,759327
19647,10053,164651,3595,1879,46671,226849
10379,8834,145696,4427,2356,74887,236200
32983,9842,90508,3365,1895,64320,169930
37991,74787,691971,15122,8985,107954,898819
28735,18668,99007,11842,8121,136055,273693
36098,18560,607219,4294,1790,196310,828173
40417,44367,258080,13963,6494,111329,434233
7785,25355,147891,15061,9298,213705,411310
4565,4507,133502,1790,1183,59766,200748
40664,399,5956,170,162,6625,13312
11741,27738,838601,10651,6146,156639,1039775
32,12818,707064,3508,2294,109388,835072
21329,2992,83347,1208,633,41068,129248
5300,8115,152860,4383,1976,65553,232887
38000,199152,2170631,38059,33587,174539,2615968
170,21849,139184,15904,9970,81803,268710
49310,1950,26184,760,224,46347,75465
12365,9770,232539,5416,3263,62870,313858
37779,91148,1420657,25720,25754,214925,1778204
4282,4269,159567,1956,905,58493,225190
40776,54773,527692,9725,4455,107732,704377
33,29227,361293,16347,11252,151465,569584
38474,20877,87164,5435,1898,77678,193052
16498,183814,3132732,47792,55294,159788,3579420
35839,32444,222173,15011,9583,179218,458429
35843,9127,115772,2811,1605,53364,182679
437,11840,398402,3714,1529,191252,606737
7472,2480,115648,1080,826,31658,151692
877,47973,251563,29580,23037,231636,583789
33049,6993,247884,1996,1019,85639,343531
48561,9395,340691,2343,328,220924,573681
801,8321,127020,6105,2459,71951,215856
30484,64257,437422,25049,16519,252064,795311
30276,124626,2550113,41140,36957,172346,2925182
30654,59273,1034915,29587,17855,155546,1297176
25777,82793,2160177,17059,15018,162618,2437665
36649,67848,369954,34914,31386,257705,761807
31933,56959,820190,15762,9161,92773,994845
578,8585,452454,3706,1639,139822,606206
205,78114,686328,57740,25734,295055,1142971
12431,18578,43933,14631,8093,96357,181592
44070,802,24548,216,224,9235,35025
3297,4595,36279,2906,2897,72923,119600
49721,17229,73355,3659,1861,55045,151149
6114,24761,162412,18894,14582,149549,370198
42203,81683,506232,16479,10183,141399,755976
32182,97277,1395823,37567,27005,284543,1842215
37379,10004,64996,3599,1837,45389,125825
44087,1883,38558,638,304,21281,62664
37208,16787,83124,6130,5959,92331,204331
38040,13717,544133,3496,2573,114107,678026
11981,5562,266716,2431,1336,74049,350094
31181,20051,277936,9324,4793,136370,448474
