manga_id,reading,completed,on_hold,dropped,plan_to_read,total
2,313274,79589,42675,8909,140653,585100
1706,29010,138429,5421,1953,46996,221809
13,414141,22566,34909,17375,42890,531881
656,90625,62265,21323,4417,127230,305860
1,28885,79945,7831,2411,86528,205600
51,18127,65675,5436,2030,51110,142378
25,46255,147805,15822,6046,55861,271789
4632,70121,148150,16310,7150,134893,376624
70345,82186,5731,7593,3047,57086,155643
642,131878,11913,18286,3978,82763,248818
16765,71148,5022,9551,2698,60034,148453
44489,45319,5235,5820,1545,45064,102983
14893,10776,12710,2645,1018,26818,53967
1303,4793,14431,1780,695,22802,44501
3,29005,71900,7836,2276,98669,209686
126479,1390,5921,168,56,9751,17286
90125,132538,32022,11527,4519,56159,236765
89357,21716,18161,2911,1267,29795,73850
123992,13908,1854,995,330,11602,28689
23751,2495,6230,494,230,11283,20732
1224,24974,1797,3952,1126,27462,59311
336,20650,61114,7109,3113,58129,150115
657,19809,3136,4764,914,42736,71359
104,64617,6522,14743,3660,48776,138318
56805,26813,155510,5459,2261,60484,250527
44227,1607,4413,321,170,10231,16742
35243,66161,72592,11301,4297,41003,195354
9115,17072,6672,3766,1253,30733,59496
651,4503,16419,1829,645,28607,52003
21525,68110,3743,9050,2829,36967,120699
34053,1098,5755,223,124,6567,13767
104039,12196,960,1353,538,17211,32258
100448,8410,82843,1060,591,43586,136490
14483,10229,835,1992,582,17354,30992
40171,18925,9823,3135,1425,33022,66330
74697,24431,3528,3858,1598,28091,61506
91941,69720,6552,8780,3272,51102,139426
28,25812,26048,10277,4108,50402,116647
70261,32099,9755,3295,1905,20613,67667
55215,15457,15575,3391,1863,61419,97705
145863,2145,49606,176,33,11829,63789
418,9713,16904,3279,1286,42594,73776
44347,297649,19937,31611,9852,64640,423689
116778,188647,220771,13029,4649,60672,487768
121496,180580,131233,14298,8205,59379,393695
45143,17283,878,1752,642,15582,36137
125036,3821,31510,507,318,25913,62069
1859,15559,1130,3183,1017,19464,40353
4,7877,16540,2214,881,37924,65436
35513,3676,885,957,183,10682,16383
26,129871,21463,30248,7878,51253,240713
72467,6389,22799,1244,451,23084,53967
21,50796,228078,18448,12270,55177,364769
107931,51283,2470,6445,2333,42142,104673
664,13159,41415,4496,1444,56378,116892
145,7257,26038,2770,1412,31163,68640
1133,32388,38183,7462,2678,66446,147157
119161,181084,6061,14020,3708,57499,262372
7,41713,2897,6681,2688,19955,73934
88660,16096,40107,2364,1303,29600,89470
78523,33063,71956,5442,3480,35324,149265
904,4390,5429,1758,714,29142,41433
81669,28067,4027,3524,1707,19927,57252
9726,3722,2190,1079,259,14224,21474
98930,2782,5465,549,296,15417,24509
103237,19981,1886,2085,907,10856,35715
7375,9123,21672,2474,1182,39051,73502
24875,3974,2335,620,272,6720,13921
756,6569,12928,1733,1004,25895,48129
117077,281,2206,75,34,1877,4473
114043,3380,7287,416,291,8958,20332
81,4087,8950,1640,850,18362,33889
60553,16070,7869,2862,1091,20307,48199
44,29202,20477,8856,3831,26077,88443
86119,4646,621,540,329,4767,10903
745,8661,39749,2563,736,47865,99574
60783,23302,37349,5331,1900,35296,103178
85968,26808,7319,5284,1918,35874,77203
105084,52560,4148,6456,2512,30248,95924
37707,10211,36380,2244,1736,23794,74365
126287,34678,688,2776,1023,27301,66466
3031,38518,43248,12152,6947,58572,159437
3006,5799,66878,1539,576,17872,92664
79085,30744,4456,3588,1300,12558,52646
399,3036,683,953,293,11827,16792
70399,5759,1540,971,324,13338,21932
23390,235750,267484,30303,21936,50992,606465
22,11272,46323,6341,3124,23531,90591
11327,3775,10827,1260,488,13851,30201
610,48810,4038,9197,5461,19673,87179
1342,3352,799,1026,277,12619,18073
11734,4740,61488,889,732,40834,108683
92559,9120,932,854,259,3290,14455
1325,1742,3299,834,280,13059,19214
698,17484,41597,6642,2741,31654,100118
140765,3314,412,299,56,1891,5972
11514,23793,1049,4600,1497,31450,62389
3083,11512,3079,4172,1448,15134,35345
6978,1095,1721,286,137,5559,8798
81211,3507,4517,610,325,14417,23376
100035,26500,654,3279,852,26062,57347
23900,977,5204,231,100,4405,10917
113138,218837,14759,17494,6833,57095,315018
101396,14002,1983,1419,555,9112,27071
2062,1740,2912,439,221,9269,14581
111213,8195,71303,1952,1303,33644,116397
18200,1188,11947,285,110,4192,17722
3649,2853,9017,749,518,12415,25552
13245,16056,2984,3182,1282,15830,39334
8157,26377,24904,5884,2815,22118,82098
33327,83027,259843,18935,11059,79874,452738
126146,50616,1174,3607,1624,32846,89867
61579,842,3289,139,62,2751,7083
88639,3504,11066,734,486,14452,30242
102,17648,75359,8746,5985,27056,134794
108177,726,632,138,44,4428,5968
93753,24278,923,3274,1129,25101,54705
39859,1018,3321,220,159,6590,11308
38071,3916,18342,801,483,15775,39317
30,23306,55962,8967,4104,27752,120091
113010,14794,1361,2513,941,11490,31099
21498,895,7089,236,95,4216,12531
14720,10953,2887,1802,739,3903,20284
121213,10262,336,929,249,11546,23322
36413,14485,10598,2291,997,20487,48858
48399,20323,3669,4162,1731,26498,56383
93097,565,1133,185,44,3290,5217
56529,38698,2645,6013,2336,25779,75471
87610,18895,2657,2025,1039,9144,33760
104538,2673,22824,393,240,11429,37559
119072,5674,11635,1075,625,4519,23528
43,8771,36166,3545,1917,20806,71205
5744,1192,6311,365,162,9218,17248
7519,23359,50588,4963,3446,22832,105188
121269,20969,6937,1968,995,7178,38047
1183,1704,9054,646,347,7605,19356
92299,559,11511,90,54,3295,15509
6812,2667,5366,847,558,9671,19109
1469,2627,648,982,382,5630,10269
3285,9132,28711,2615,1550,31775,73783
66517,533,1804,154,118,3027,5636
3299,11748,7626,3047,1321,13892,37634
28449,11910,3252,1665,779,5824,23430
29211,37949,2240,5777,2126,26815,74907
7482,4914,5988,1649,765,15602,28918
42451,130093,78065,18457,11846,71479,309940
25515,42977,35317,7591,1355,38055,125295
100323,12719,679,1833,736,12036,28003
62795,28411,1537,2384,1093,17628,51053
17051,10038,7295,2444,791,16898,37466
107562,18157,418,1680,576,11475,32306
123649,4554,214,382,134,5701,10985
95012,12172,1132,1430,744,7120,22598
87953,4765,1169,712,362,5280,12288
11054,6993,11691,2433,813,28439,50369
3866,82364,5347,16446,9590,34869,148616
8586,11429,79727,2590,2175,38161,134082
768,9180,26212,3162,1334,34201,74089
134744,11809,917,968,340,5072,19106
114745,65935,2781,5437,2292,30528,106973
743,2534,47063,679,245,23724,74245
419,3513,8732,1547,820,10666,25278
8967,7211,78866,1827,1559,34659,124122
88930,7230,793,1148,512,10919,20602
24692,89722,5694,17496,5820,49144,167876
33031,8932,22411,1649,779,28874,62645
138673,2908,48579,176,29,11811,63503
110160,1318,7071,201,98,7269,15957
26728,2691,5453,936,450,10506,20036
3572,1806,5236,625,250,8916,16833
974,2091,5853,989,678,10997,20608
87609,83404,3732,6223,3313,17220,113892
9711,31810,70020,11666,7466,42506,163468
42,18965,92722,8240,4955,17569,142451
2921,32560,77149,8851,5716,28720,152996
99314,11900,38438,1522,2009,25154,79023
10573,14881,2761,2460,1360,4387,25849
48621,2372,45693,335,228,10029,58657
93699,3368,5456,680,290,12525,22319
