anime_id,watching,completed,on_hold,dropped,plan_to_watch,total
2418,7606,190867,2365,774,111045,312657
43,11034,388141,4435,2332,173229,579171
6675,6983,229476,2188,1067,103435,343149
1698,12967,151601,10447,7940,116546,299501
759,4758,164379,1965,805,91012,262919
32937,49885,1160867,16049,12143,131941,1370885
50380,38242,108194,5921,5203,63685,221245
3002,18609,169880,12115,8224,117835,326663
19363,3982,106878,2509,1276,23520,138165
37450,90700,1179766,29877,32045,214164,1546552
513,5170,364733,2055,879,67610,440447
264,2160,101880,655,490,16252,121437
28805,8510,268697,2565,924,112421,393117
34798,35386,219496,16160,10870,156623,438535
329,13374,80568,10191,7122,123536,234791
139,2723,110997,1022,919,19555,135216
36990,1702,40781,742,301,26945,70471
44055,22000,65090,3547,4471,49331,144439
42886,1451,5833,231,144,8206,15865
22507,3013,88806,1085,713,29962,123579
23327,7371,103161,4628,2297,39140,156597
38731,11208,46864,2763,1505,17944,80284
523,11282,834705,3167,1488,114330,964972
40052,62292,301028,29661,18610,164019,575610
32188,4004,186954,1475,553,44648,237634
40784,2198,42680,658,516,10906,56958
31812,3860,115119,1440,823,56955,178197
31240,125427,1548495,43080,49306,236899,2003207
41457,60235,347219,15298,14914,166465,604131
10271,6955,118242,4184,2541,47443,179365
1033,3331,91552,1527,643,67258,164311
34036,1148,20192,411,507,5937,28195
38234,2708,126117,676,400,23889,153790
43325,22611,106633,5649,3064,68142,206099
37055,5570,166296,1834,844,69222,243766
36371,715,13603,206,326,7673,22523
11843,47162,459128,32843,21706,200840,761679
1842,1263,55559,582,595,7715,65714
37078,3511,71622,726,644,21655,98158
1735,419109,1415050,131949,146138,118602,2230848
40211,943,7793,247,193,10450,19626
5690,3194,87957,1944,1089,28962,123146
2966,36727,450165,29966,19832,226588,763278
265,1396,81851,499,395,12973,97114
18115,34427,571479,18006,13924,152199,790035
627,3295,63038,2049,1676,25489,95547
37989,9968,119614,4282,2159,39625,175648
33051,9559,89469,4015,2405,23107,128555
37520,115353,620412,48318,34989,257441,1076513
16894,30016,670428,10991,7280,68612,787327
9863,18829,81817,17416,16165,80106,214333
23847,32154,798657,12212,8980,119260,971263
11977,2778,135950,1516,1077,46390,187711
3091,4608,84972,3324,2371,39592,134867
1142,2332,65706,2092,1435,30654,102219
33674,19567,580864,6120,5954,187566,800071
15227,4631,86877,1825,763,77307,171403
38680,72952,396114,33146,27418,189578,719208
5460,958,47539,326,400,6101,55324
585,4659,235406,1869,672,75550,318156
6,38404,406925,30735,17162,194032,687258
512,5653,445851,2054,741,65103,519402
40853,416,12782,143,160,4806,18307
16664,3390,136018,1673,840,63310,205231
38249,3891,162844,913,619,25965,194232
42897,137831,763970,22447,24120,178362,1126730
558,1314,57929,606,625,7730,68204
372,1350,92066,669,465,14692,109242
35466,8527,272152,2826,2066,63498,349069
40729,19778,80754,4781,3213,71656,180182
49114,25931,107035,4893,2963,73486,214308
38003,28302,363970,11020,5020,122859,531171
45577,1602,6491,396,466,8685,17640
35838,24792,128035,13433,10485,129312,306057
19123,1415,45515,433,469,8441,56273
3226,1412,52129,664,613,7351,62169
12115,3419,170796,989,795,29030,205029
6864,2251,42558,1110,517,19262,65698
2150,2222,12890,1653,966,6374,24105
7674,30298,338129,23613,19764,175323,587127
18195,5857,94059,3693,3195,50928,157732
6811,10468,185131,6687,4315,56449,263050
32867,36775,564612,16003,8523,119479,745392
38481,22549,94027,6292,3406,82272,208546
138,2988,121019,1056,996,18998,145057
1453,5020,18177,3804,2653,36075,65729
34537,3436,54666,1185,629,52468,112384
32843,2773,14707,630,790,16821,35721
440,16190,63996,11893,6555,99737,198371
23623,9980,116441,5459,2740,52966,187586
35677,3717,55833,1346,595,59882,121373
18617,2168,68369,719,704,25648,97608
25537,7936,281131,2437,1105,117217,409826
4921,218,4839,77,139,2447,7720
39166,517,9468,221,105,9996,20307
25681,14815,273501,6910,4608,61078,360912
10800,25736,204063,19850,16015,162957,428621
22297,32219,790248,12917,8628,140755,984767
41361,1103,9588,361,138,15246,26436
37171,31942,234226,15875,15409,127750,425202
34636,24485,159918,12500,13690,92353,302946
1889,18969,298901,14009,11268,111617,454764
962,3966,33599,3052,1744,32186,74547
28171,81197,1178971,35253,40438,194854,1530713
40852,92785,590092,16392,8917,174825,883011
1519,12499,376082,7320,3736,77543,477180
30503,48384,1102621,20955,12808,170584,1355352
7791,36917,434225,26797,18915,126986,643840
35111,1718,47373,618,553,21137,71399
32005,831,30492,250,323,5668,37564
38088,1057,20325,336,296,15890,37904
9890,483,23079,204,275,4992,29033
4107,2755,108627,1420,879,39993,153674
47,12365,578088,4867,3010,166960,765290
36296,32237,277670,12465,10490,134465,467327
235,146874,6,67869,44637,61372,320758
50203,3719,9498,430,526,11014,25187
50325,1377,33519,310,170,10561,45937
50631,56043,190323,8246,5880,107291,367783
853,48933,793872,33692,31851,136134,1044482
28223,78511,1134127,45995,36136,324807,1619576
31715,2122,75456,775,541,18871,97765
28675,5574,170731,2172,928,63162,242567
239,11772,79363,10101,7327,125045,233608
35857,4235,17532,1894,1214,15521,40396
49521,372,8233,166,68,5490,14329
33486,121122,2046698,20056,18082,99388,2305346
18,8881,123331,4251,1855,24478,162796
1430,1478,86343,572,378,18529,107300
37962,3027,10774,993,752,10925,26471
11597,25213,514602,12419,7118,134560,693912
813,46054,977051,24599,29520,57397,1134621
3701,6980,47094,4866,3432,78281,140653
40421,3206,145194,951,711,53967,204029
49053,769,38460,304,331,30970,70834
232,29723,250383,25369,16846,84578,406899
